Country or Area;Commodity - Transaction;Year;Unit;Quantity;Quantity Footnotes;Kmq;Continents
Angola;Electricity - total solar production;2012;Kilowatt-hours, million;14;;1246700;Africa
Angola;Electricity - total solar production;2011;Kilowatt-hours, million;11;;1246700;Africa
Angola;Electricity - total solar production;2010;Kilowatt-hours, million;10;;1246700;Africa
Angola;Electricity - total solar production;2009;Kilowatt-hours, million;8;;1246700;Africa
Angola;Electricity - total solar production;2008;Kilowatt-hours, million;7;;1246700;Africa
Angola;Electricity - total solar production;2007;Kilowatt-hours, million;4;;1246700;Africa
Angola;Electricity - total solar production;2006;Kilowatt-hours, million;1;;1246700;Africa
Angola;Electricity - total solar production;2005;Kilowatt-hours, million;1;;1246700;Africa
Anguilla;Electricity - total solar production;2019;Kilowatt-hours, million;3;1;102;South America
Anguilla;Electricity - total solar production;2018;Kilowatt-hours, million;3;1;102;South America
Anguilla;Electricity - total solar production;2017;Kilowatt-hours, million;3;1;102;South America
Anguilla;Electricity - total solar production;2016;Kilowatt-hours, million;5;1;102;South America
Anguilla;Electricity - total solar production;2015;Kilowatt-hours, million;2;1;102;South America
Antigua and Barbuda;Electricity - total solar production;2019;Kilowatt-hours, million;13;1;442;South America
Antigua and Barbuda;Electricity - total solar production;2018;Kilowatt-hours, million;13;;442;South America
Antigua and Barbuda;Electricity - total solar production;2017;Kilowatt-hours, million;9;;442;South America
Antigua and Barbuda;Electricity - total solar production;2016;Kilowatt-hours, million;9;;442;South America
Antigua and Barbuda;Electricity - total solar production;2015;Kilowatt-hours, million;7;;442;South America
Antigua and Barbuda;Electricity - total solar production;2014;Kilowatt-hours, million;2;;442;South America
Antigua and Barbuda;Electricity - total solar production;2013;Kilowatt-hours, million;2;;442;South America
Antigua and Barbuda;Electricity - total solar production;2012;Kilowatt-hours, million;2;;442;South America
Antigua and Barbuda;Electricity - total solar production;2011;Kilowatt-hours, million;1;;442;South America
Argentina;Electricity - total solar production;2019;Kilowatt-hours, million;800;;2780272;South America
Argentina;Electricity - total solar production;2018;Kilowatt-hours, million;108;;2780272;South America
Argentina;Electricity - total solar production;2017;Kilowatt-hours, million;16;;2780272;South America
Argentina;Electricity - total solar production;2016;Kilowatt-hours, million;14;;2780272;South America
Argentina;Electricity - total solar production;2015;Kilowatt-hours, million;15;;2780272;South America
Argentina;Electricity - total solar production;2014;Kilowatt-hours, million;16;;2780272;South America
Argentina;Electricity - total solar production;2013;Kilowatt-hours, million;15;;2780272;South America
Argentina;Electricity - total solar production;2012;Kilowatt-hours, million;8;;2780272;South America
Argentina;Electricity - total solar production;2011;Kilowatt-hours, million;2;;2780272;South America
Argentina;Electricity - total solar production;2010;Kilowatt-hours, million;9;;2780272;South America
Argentina;Electricity - total solar production;2009;Kilowatt-hours, million;8;;2780272;South America
Armenia;Electricity - total solar production;2018;Kilowatt-hours, million;19463;;29800;Asia
Armenia;Electricity - total solar production;2017;Kilowatt-hours, million;2743;;29800;Asia
Armenia;Electricity - total solar production;2016;Kilowatt-hours, million;1;;29800;Asia
Armenia;Electricity - total solar production;2015;Kilowatt-hours, million;1;;29800;Asia
Australia;Electricity - total solar production;2018;Kilowatt-hours, million;9929;;7703429;Oceania
Australia;Electricity - total solar production;2017;Kilowatt-hours, million;8071;;7703429;Oceania
Australia;Electricity - total solar production;2016;Kilowatt-hours, million;6209;;7703429;Oceania
Australia;Electricity - total solar production;2015;Kilowatt-hours, million;5023;;7703429;Oceania
Australia;Electricity - total solar production;2014;Kilowatt-hours, million;4010;;7703429;Oceania
Australia;Electricity - total solar production;2013;Kilowatt-hours, million;3475;;7703429;Oceania
Australia;Electricity - total solar production;2012;Kilowatt-hours, million;2325;;7703429;Oceania
Australia;Electricity - total solar production;2011;Kilowatt-hours, million;1391;;7703429;Oceania
Australia;Electricity - total solar production;2010;Kilowatt-hours, million;389;;7703429;Oceania
Australia;Electricity - total solar production;2009;Kilowatt-hours, million;160;;7703429;Oceania
Australia;Electricity - total solar production;2008;Kilowatt-hours, million;127;;7703429;Oceania
Australia;Electricity - total solar production;2007;Kilowatt-hours, million;109;;7703429;Oceania
Australia;Electricity - total solar production;2006;Kilowatt-hours, million;91;;7703429;Oceania
Australia;Electricity - total solar production;2005;Kilowatt-hours, million;79;;7703429;Oceania
Australia;Electricity - total solar production;2004;Kilowatt-hours, million;69;;7703429;Oceania
Australia;Electricity - total solar production;2003;Kilowatt-hours, million;59;;7703429;Oceania
Australia;Electricity - total solar production;2002;Kilowatt-hours, million;50;;7703429;Oceania
Australia;Electricity - total solar production;2001;Kilowatt-hours, million;44;;7703429;Oceania
Australia;Electricity - total solar production;2000;Kilowatt-hours, million;38;;7703429;Oceania
Australia;Electricity - total solar production;1999;Kilowatt-hours, million;34;;7703429;Oceania
Australia;Electricity - total solar production;1998;Kilowatt-hours, million;28;;7703429;Oceania
Australia;Electricity - total solar production;1997;Kilowatt-hours, million;23;;7703429;Oceania
Australia;Electricity - total solar production;1996;Kilowatt-hours, million;19;;7703429;Oceania
Australia;Electricity - total solar production;1995;Kilowatt-hours, million;16;;7703429;Oceania
Australia;Electricity - total solar production;1994;Kilowatt-hours, million;13;;7703429;Oceania
Australia;Electricity - total solar production;1993;Kilowatt-hours, million;11;;7703429;Oceania
Austria;Electricity - total solar production;2018;Kilowatt-hours, million;1438;;83870;Europe
Austria;Electricity - total solar production;2017;Kilowatt-hours, million;1269;;83870;Europe
Austria;Electricity - total solar production;2016;Kilowatt-hours, million;1096;;83870;Europe
Austria;Electricity - total solar production;2015;Kilowatt-hours, million;937;;83870;Europe
Austria;Electricity - total solar production;2014;Kilowatt-hours, million;785;;83870;Europe
Austria;Electricity - total solar production;2013;Kilowatt-hours, million;626;;83870;Europe
Austria;Electricity - total solar production;2012;Kilowatt-hours, million;337;;83870;Europe
